genre_ids,original_language,popularity,release_date,title,vote_average,vote_count
[18],en,7.382000000000001,2010-07-19,The Client List,5.6,108
"[18, 36, 10770]",en,7.372000000000001,2009-02-27,Prayers for Bobby,7.9,220
"[18, 35, 10749]",ko,7.367999999999999,2010-02-05,Castaway on the Moon,8.1,259
"[35, 10749]",en,7.364,2010-12-30,Tamara Drewe,5.8,226
"[35, 18]",en,7.357,2011-01-14,Barney's Version,7.2,210
"[18, 37]",en,7.309,2010-10-08,Meek's Cutoff,6.5,113
"[27, 53]",es,7.297000000000001,2010-06-17,Kidnapped,6.3,98
"[27, 878, 53]",en,7.28,2010-01-29,Growth,5.2,33
"[35, 18, 36]",en,7.275,2010-11-19,Made in Dagenham,6.6,150
"[14, 16, 18, 35, 878, 10751]",en,7.265,2010-12-07,Donkey's Christmas Shrektacular,5.3,70
"[35, 10749, 10770]",en,7.216,2010-07-18,Revenge of the Bridesmaids,6.3,165
"[12, 878]",en,7.188,2010-11-13,The Lost Future,5.0,79
[99],en,7.172000000000001,2010-09-17,Catfish,6.8,284
"[16, 35]",en,7.171,2010-04-20,The Drawn Together Movie: The Movie!,6.4,54
"[18, 53, 9648]",en,7.155,2010-08-10,Triage,6.5,82
[27],en,7.148,2010-06-15,The Tortured,5.3,77
[35],en,7.146,2010-07-20,Kevin Hart: Seriously Funny,7.3,89
[18],en,7.14,2010-01-22,Hesher,7.0,335
[18],en,7.12,2010-09-24,Howl,6.8,100
"[99, 10752]",en,7.119,2010-06-25,Restrepo,7.5,188
"[16, 35, 10751]",en,7.117999999999999,2010-12-13,Banana,7.1,178
[35],en,7.108,2010-01-30,Lying to Be Perfect,6.1,85
[18],en,7.099,2010-01-27,Nowhere Boy,7.3,469
"[18, 53]",en,7.09,2010-10-08,Red White & Blue,6.2,64
"[80, 18, 53]",en,7.087000000000001,2010-04-27,The Killer Inside Me,5.9,304
"[14, 18, 27, 35]",it,7.077999999999999,1996-04-26,Cemetery Man,7.1,192
"[16, 35, 10751]",en,7.047999999999999,2010-09-14,Scooby-Doo! Camp Scare,7.2,52
"[35, 18, 10749]",en,7.047000000000001,2010-05-14,Just Wright,6.2,211
"[28, 12, 16, 10751]",en,7.039,2010-01-01,LEGO: The Adventures of Clutch Powers,5.5,41
[35],fr,6.978,2010-12-20,Nothing to Declare,5.8,602
"[35, 18, 10751, 10770]",en,6.896,2010-03-25,Harriet the Spy: Blog Wars,4.7,127
[18],en,6.875,2010-02-06,Temple Grandin,7.8,173
"[53, 9648, 80, 18]",en,6.871,2010-02-05,Red Riding: In the Year of Our Lord 1974,6.8,99
"[18, 28, 53, 80]",en,6.8629999999999995,2010-12-29,Across the Line: The Exodus of Charlie Wright,5.9,19
[35],en,6.862,2010-04-15,Death at a Funeral,5.7,439
"[28, 27, 878, 53]",en,6.856,2010-10-05,The Rig,3.7,39
"[18, 9648, 10749]",en,6.824,2010-10-02,Shanghai,6.1,80
"[16, 10751]",en,6.792000000000001,2010-05-26,Space Chimps 2: Zartog Strikes Back,4.6,50
"[35, 18, 10749]",en,6.752999999999999,2010-12-17,How Do You Know,5.1,453
"[18, 36]",zh,6.706,2010-03-18,Confucius,5.9,45
"[27, 878, 10770]",en,6.706,2010-11-27,Triassic Attack,3.2,22
"[10749, 35, 18]",en,6.695,2010-11-12,Tiny Furniture,5.9,82
"[18, 10402]",en,6.684,2010-10-10,Stomp the Yard 2: Homecoming,4.7,48
"[16, 35]",en,6.682,2010-10-28,Scared Shrekless,6.2,177
[35],ru,6.675,2010-11-11,What Men Talk About,7.7,71
"[35, 10749, 18]",en,6.645,2010-01-20,Happythankyoumoreplease,6.5,148
"[35, 10749]",en,6.636,2010-04-02,Why Did I Get Married Too?,5.9,49
"[27, 53]",en,6.635,2010-01-23,YellowBrickRoad,4.9,75
[35],en,6.632000000000001,2010-07-30,Dinner for Schmucks,5.6,920
