genre_ids,original_language,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross
"[35, 18, 10749]",en,8.281,2010-09-03,Going the Distance,6.0,394,WB (NL),17800000.0,24200000.0,2010,42000000.0
"[12, 14, 28, 37, 53]",en,8.259,2010-12-03,The Warrior's Way,6.1,203,Rela.,5700000.0,5400000.0,2010,11100000.0
"[18, 10749]",en,8.244,2010-09-18,Last Night,6.1,444,Trib.,99000.0,7600000.0,2011,7699000.0
"[35, 18, 9648]",en,8.215,2010-01-22,Get Low,6.7,135,SPC,9200000.0,518000.0,2010,9718000.0
"[18, 10402]",en,8.19,2010-03-19,The Runaways,6.4,448,App.,3600000.0,1100000.0,2010,4700000.0
"[27, 53]",en,8.163,2010-10-21,Paranormal Activity 2,5.7,1342,Par.,84800000.0,92800000.0,2010,177600000.0
"[18, 28, 53, 80]",fr,8.131,2010-08-27,Mesrine: Killer Instinct,7.4,434,MBox,552000.0,30500000.0,2010,31052000.0
[18],en,8.109,2010-10-21,The Company Men,6.6,349,Wein.,4400000.0,441000.0,2011,4841000.0
"[16, 10751, 35, 12, 10749]",en,8.107999999999999,2010-09-17,Alpha and Omega,5.4,227,LGF,25100000.0,25400000.0,2010,50500000.0
"[18, 28, 53]",zh,7.947999999999999,2010-02-04,14 Blades,6.6,87,RTWC,415000000.0,3800000.0,2014,418800000.0
"[18, 14]",en,7.886,2010-10-22,Hereafter,5.9,848,WB,32700000.0,72500000.0,2010,105200000.0
"[18, 9648, 53, 80, 10749]",en,7.871,2010-12-03,All Good Things,6.0,493,Magn.,582000.0,62500.0,2010,644500.0
"[28, 35, 80]",hi,7.831,2010-09-10,Dabangg,6.2,73,Eros,1300000.0,1700000.0,2010,3000000.0
"[53, 9648]",en,7.829,2010-02-12,The Ghost Writer,6.8,1135,Sum.,15500000.0,44700000.0,2010,60200000.0
"[18, 28, 53]",en,7.8260000000000005,2010-10-01,Inhale,6.1,63,IFC,4100.0,51000.0,2010,55100.0
"[35, 10749]",en,7.775,2010-03-12,She's Out of My League,6.1,970,Par.,32000000.0,17800000.0,2010,49800000.0
"[35, 10749, 18]",en,7.745,2010-08-20,The Switch,6.1,1008,Mira.,27800000.0,22100000.0,2010,49900000.0
"[35, 18, 10749]",en,7.735,2010-06-18,Cyrus,6.0,201,FoxS,7500000.0,2500000.0,2010,10000000.0
[18],es,7.697,2010-12-28,Biutiful,7.2,546,RAtt.,5100000.0,20000000.0,2011,25100000.0
"[28, 12, 18, 36, 10752]",de,7.676,2010-02-11,The Red Baron,6.5,111,Mont.,37200.0,3100.0,2010,40300.0
"[35, 18, 10749]",en,7.676,2010-09-10,The Romantics,4.9,145,FOAK,107000.0,17300.0,2010,124300.0
"[28, 12, 35]",en,7.666,2010-05-21,MacGruber,5.3,270,Uni.,8500000.0,797000.0,2010,9297000.0
"[18, 28]",no,7.6160000000000005,2010-12-20,King of Devil's Island,7.3,96,FM,7600.0,4200000.0,2011,4207600.0
"[35, 18]",en,7.596,2010-12-22,Somewhere,6.1,376,Focus,1800000.0,12200000.0,2010,14000000.0
"[35, 18, 10749]",en,7.57,2010-03-26,Greenberg,5.9,280,Focus,4200000.0,1900000.0,2010,6100000.0
"[18, 10749, 10402]",en,7.567,2010-12-22,Country Strong,6.3,126,SGem,20200000.0,310000.0,2010,20510000.0
"[10402, 14, 28, 10751]",en,7.566,2010-11-24,The Nutcracker in 3D,5.5,97,Free,195000.0,16000000.0,2010,16195000.0
"[99, 10751]",en,7.532,2010-04-21,Oceans,7.2,167,BV,19400000.0,63200000.0,2010,82600000.0
[18],en,7.51,2010-10-15,Conviction,7.2,297,FoxS,6800000.0,2900000.0,2010,9700000.0
